"sample_id","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","primer_scheme_version","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes","genome_length","coverage_percent","qc_status"
"SD590","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1618148","3127","71.74796612","29.06206681","70","0","144","11914","11818","11604","2276","No",NA,99.11934916,NA,NA,"SUB7127","SUB7127","16-Nov","SUB7127",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","22.98","NA","NA","NA","Positive","APHA",NA,11923,0.831328937012497,"Low coverage"
"SD591","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"2113210","544","12.34454416","8.769937922","10","0","49","11745","10142","2217","0","No",NA,85.06248427,NA,NA,"SUB7128","SUB7128","16-Nov","SUB7128",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","23.52","NA","NA","NA","Positive","APHA",NA,11923,0.713431890212195,"Low coverage"
"SD591.sg","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"996947","0","0","0","0","0",NA,NA,NA,NA,NA,"No",NA,0,NA,"SD591.2","SUB7129","SUB7129","16-Nov","SUB7129",NA,"Salivary_gland","Unknown","TZA: Tanzania","NA","SYBR","34.81","NA","NA","NA","Inconclusive","APHA",NA,11923,0,"Low coverage"
"SD594","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"3065463","6456","135.9571417","59.67107535","126","0","345","11912","11834","11755","8105","No",NA,99.25354357,NA,NA,"SUB7130","SUB7130","16-Nov","SUB7130",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","23.43","NA","NA","NA","Positive","APHA",NA,11923,0.83245444577707,"Low coverage"
"SD594.sg","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1167903","1","0.025329196","0.157129559","0","0","1","302","0","0","0","No",NA,0,NA,"SD594.2","SUB7131","SUB7131","16-Nov","SUB7131",NA,"Salivary_gland","Unknown","TZA: Tanzania","NA","SYBR","21.74","NA","NA","NA","Positive","APHA",NA,11923,0,"Low coverage"
"SD595","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1778610","336","8.074058542","4.83422213","7","0","24","11621","8859","246","0","No",NA,74.30176969,NA,NA,"SUB7132","SUB7132","16-Nov","SUB7132",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","27.19","NA","NA","NA","Positive","APHA",NA,11923,0.62318015340099,"Low coverage"
"SD595.sg","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1158677","2112","49.08504571","15.17227516","49","0","103","11905","11843","11666","10","No",NA,99.32902793,NA,"SD595.2","SUB7133","SD595.sg","16-Nov","SUB7133",NA,"Salivary_gland","Unknown","TZA: Tanzania","NA","SYBR","14.9","NA","NA","NA","Positive","APHA",NA,11923,0.833087544493835,"Low coverage"
"SD596","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1872093","125","2.840057033","2.399812468","2","0","11","10489","2779","0","0","No",NA,23.30789231,NA,NA,"SUB7134","SUB7134","16-Nov","SUB7134",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","21.94","NA","NA","NA","Positive","APHA",NA,11923,0.195486809611675,"Low coverage"
"SD596.sg","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1104028","0","0","0","0","0",NA,NA,NA,NA,NA,"No",NA,0,NA,"SD596.2","SUB7135","SUB7135","16-Nov","SUB7135",NA,"Salivary_gland","Unknown","TZA: Tanzania","NA","SYBR","23.75","NA","NA","NA","Positive","APHA",NA,11923,0,"Low coverage"
"SD597","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"3577421","0","0","0","0","0",NA,NA,NA,NA,NA,"No",NA,0,NA,"SD597.2","SUB7137","SUB7137","16-Nov","SUB7137",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","36.3","NA","NA","NA","Negative","APHA",NA,11923,0,"Low coverage"
"SD597.sg","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1316745","0","0","0","0","0",NA,NA,NA,NA,NA,"No",NA,0,NA,"SD597","SUB7136","SUB7136","16-Nov","SUB7136",NA,"Salivary_gland","Unknown","TZA: Tanzania","NA","SYBR","35.48","NA","NA","NA","Inconclusive","APHA",NA,11923,0,"Low coverage"
"SD598","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1135052","83057","1397.18435","454.4868459","1350","0","3019","11921","11920","11882","11836","No",NA,99.97483855,NA,NA,"SUB7138","SUB7138","16-Nov","SUB7138",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","29.37","NA","NA","NA","Positive","APHA",NA,11923,0.83850405560681,"Low coverage"
